ID,start,mnr,answer,timestamp
706,2012-02-17 07:25:33,2,4,2012-02-17 07:26:50
706,2012-02-17 07:25:33,3,3,2012-02-17 07:27:21
706,2012-02-17 07:25:33,4,2,2012-02-17 07:27:35
706,2012-02-17 07:25:33,5,1,2012-02-17 07:27:48
706,2012-02-17 07:25:33,6,5,2012-02-17 07:28:03
706,2012-02-17 07:25:33,7,4,2012-02-17 07:28:30
706,2012-02-17 07:25:33,8,3,2012-02-17 07:29:03
706,2012-02-17 07:25:33,9,5,2012-02-17 07:29:48
706,2012-02-17 07:25:33,10,1,2012-02-17 07:30:16
706,2012-02-17 07:25:33,11,5,2012-02-17 07:31:06
706,2012-02-17 07:25:33,12,1,2012-02-17 07:32:09
706,2012-02-17 07:25:33,13,5,2012-02-17 07:32:58
706,2012-02-17 07:25:33,14,1,2012-02-17 07:34:42
706,2012-02-17 07:25:33,15,2,2012-02-17 07:35:18
706,2012-02-17 07:25:33,16,3,2012-02-17 07:36:28
717,2012-02-17 07:25:33,1,5,2012-02-17 07:27:26
717,2012-02-17 07:25:33,2,3,2012-02-17 07:28:09
717,2012-02-17 07:25:33,3,4,2012-02-17 07:28:37
717,2012-02-17 07:25:33,4,3,2012-02-17 07:29:20
717,2012-02-17 07:25:33,5,4,2012-02-17 07:30:04
717,2012-02-17 07:25:33,6,5,2012-02-17 07:30:26
717,2012-02-17 07:25:33,7,1,2012-02-17 07:31:15
717,2012-02-17 07:25:33,8,5,2012-02-17 07:31:34
717,2012-02-17 07:25:33,9,5,2012-02-17 07:32:01
717,2012-02-17 07:25:33,10,1,2012-02-17 07:32:33
717,2012-02-17 07:25:33,11,1,2012-02-17 07:33:05
717,2012-02-17 07:25:33,12,2,2012-02-17 07:33:20
717,2012-02-17 07:25:33,13,5,2012-02-17 07:33:51
717,2012-02-17 07:25:33,14,1,2012-02-17 07:34:17
717,2012-02-17 07:25:33,15,2,2012-02-17 07:34:39
717,2012-02-17 07:25:33,16,3,2012-02-17 07:34:59
717,2012-02-17 07:25:33,17,5,2012-02-17 07:35:18
717,2012-02-17 07:25:33,18,1,2012-02-17 07:35:43
717,2012-02-17 07:25:33,19,5,2012-02-17 07:36:26
717,2012-02-17 07:25:33,20,4,2012-02-17 07:36:44
717,2012-02-17 07:25:33,21,4,2012-02-17 07:37:01
717,2012-02-17 07:25:33,22,2,2012-02-17 07:37:26
717,2012-02-17 07:25:33,23,5,2012-02-17 07:37:43
717,2012-02-17 07:25:33,24,4,2012-02-17 07:38:03
717,2012-02-17 07:25:33,25,5,2012-02-17 07:38:33
708,2012-02-17 07:25:33,1,5,2012-02-17 07:26:33
708,2012-02-17 07:25:33,2,4,2012-02-17 07:26:53
708,2012-02-17 07:25:33,3,3,2012-02-17 07:27:02
708,2012-02-17 07:25:33,4,2,2012-02-17 07:27:11
708,2012-02-17 07:25:33,5,1,2012-02-17 07:27:22
708,2012-02-17 07:25:33,6,5,2012-02-17 07:27:31
708,2012-02-17 07:25:33,7,4,2012-02-17 07:27:41
708,2012-02-17 07:25:33,8,3,2012-02-17 07:27:50
708,2012-02-17 07:25:33,9,5,2012-02-17 07:28:06
708,2012-02-17 07:25:33,10,1,2012-02-17 07:28:27
708,2012-02-17 07:25:33,11,4,2012-02-17 07:29:09
708,2012-02-17 07:25:33,12,1,2012-02-17 07:30:03
708,2012-02-17 07:25:33,13,5,2012-02-17 07:30:21
708,2012-02-17 07:25:33,14,1,2012-02-17 07:30:46
708,2012-02-17 07:25:33,15,2,2012-02-17 07:31:13
708,2012-02-17 07:25:33,16,3,2012-02-17 07:31:47
708,2012-02-17 07:25:33,17,1,2012-02-17 07:32:55
708,2012-02-17 07:25:33,18,3,2012-02-17 07:33:24
708,2012-02-17 07:25:33,19,2,2012-02-17 07:34:40
708,2012-02-17 07:25:33,20,1,2012-02-17 07:35:01
708,2012-02-17 07:25:33,21,4,2012-02-17 07:36:49
708,2012-02-17 07:25:33,22,2,2012-02-17 07:38:07
727,2012-02-17 07:25:33,1,5,2012-02-17 07:27:20
727,2012-02-17 07:25:33,2,4,2012-02-17 07:27:49
727,2012-02-17 07:25:33,3,3,2012-02-17 07:28:21
727,2012-02-17 07:25:33,4,2,2012-02-17 07:28:56
727,2012-02-17 07:25:33,5,1,2012-02-17 07:29:50
727,2012-02-17 07:25:33,6,5,2012-02-17 07:30:22
727,2012-02-17 07:25:33,7,4,2012-02-17 07:30:54
727,2012-02-17 07:25:33,8,3,2012-02-17 07:31:33
727,2012-02-17 07:25:33,9,4,2012-02-17 07:32:16
727,2012-02-17 07:25:33,10,1,2012-02-17 07:33:05
727,2012-02-17 07:25:33,11,1,2012-02-17 07:34:56
727,2012-02-17 07:25:33,12,1,2012-02-17 07:35:49
727,2012-02-17 07:25:33,13,5,2012-02-17 07:36:42
711,2012-02-17 07:25:33,1,5,2012-02-17 07:27:40
711,2012-02-17 07:25:33,2,4,2012-02-17 07:28:14
711,2012-02-17 07:25:33,3,3,2012-02-17 07:29:55
711,2012-02-17 07:25:33,4,2,2012-02-17 07:30:23
711,2012-02-17 07:25:33,5,1,2012-02-17 07:30:48
711,2012-02-17 07:25:33,6,5,2012-02-17 07:31:08
711,2012-02-17 07:25:33,7,4,2012-02-17 07:31:33
711,2012-02-17 07:25:33,8,3,2012-02-17 07:31:54
711,2012-02-17 07:25:33,9,5,2012-02-17 07:32:32
711,2012-02-17 07:25:33,10,1,2012-02-17 07:32:57
711,2012-02-17 07:25:33,11,4,2012-02-17 07:34:10
711,2012-02-17 07:25:33,12,1,2012-02-17 07:34:59
711,2012-02-17 07:25:33,13,5,2012-02-17 07:35:16
711,2012-02-17 07:25:33,14,1,2012-02-17 07:35:35
711,2012-02-17 07:25:33,15,2,2012-02-17 07:35:51
711,2012-02-17 07:25:33,16,5,2012-02-17 07:36:32
711,2012-02-17 07:25:33,17,5,2012-02-17 07:37:24
711,2012-02-17 07:25:33,18,3,2012-02-17 07:37:41
711,2012-02-17 07:25:33,19,3,2012-02-17 07:38:32
716,2012-02-17 07:25:33,1,5,2012-02-17 07:25:59
716,2012-02-17 07:25:33,2,4,2012-02-17 07:26:19
716,2012-02-17 07:25:33,3,3,2012-02-17 07:26:39
716,2012-02-17 07:25:33,4,2,2012-02-17 07:27:01
716,2012-02-17 07:25:33,5,1,2012-02-17 07:27:14
716,2012-02-17 07:25:33,6,5,2012-02-17 07:27:25
716,2012-02-17 07:25:33,7,2,2012-02-17 07:28:02
716,2012-02-17 07:25:33,8,3,2012-02-17 07:28:19
716,2012-02-17 07:25:33,9,5,2012-02-17 07:28:48
716,2012-02-17 07:25:33,10,1,2012-02-17 07:29:09
716,2012-02-17 07:25:33,11,4,2012-02-17 07:29:34
716,2012-02-17 07:25:33,12,1,2012-02-17 07:30:26
716,2012-02-17 07:25:33,13,4,2012-02-17 07:30:49
716,2012-02-17 07:25:33,14,1,2012-02-17 07:31:35
716,2012-02-17 07:25:33,15,2,2012-02-17 07:32:03
716,2012-02-17 07:25:33,16,3,2012-02-17 07:32:51
716,2012-02-17 07:25:33,17,5,2012-02-17 07:34:21
716,2012-02-17 07:25:33,18,4,2012-02-17 07:34:52
716,2012-02-17 07:25:33,19,2,2012-02-17 07:36:03
716,2012-02-17 07:25:33,20,2,2012-02-17 07:36:53
716,2012-02-17 07:25:33,21,5,2012-02-17 07:38:24
726,2012-02-17 07:25:33,1,5,2012-02-17 07:26:26
726,2012-02-17 07:25:33,2,4,2012-02-17 07:26:46
726,2012-02-17 07:25:33,3,3,2012-02-17 07:27:17
726,2012-02-17 07:25:33,4,2,2012-02-17 07:27:30
726,2012-02-17 07:25:33,5,1,2012-02-17 07:27:51
726,2012-02-17 07:25:33,6,5,2012-02-17 07:28:31
726,2012-02-17 07:25:33,7,4,2012-02-17 07:28:53
726,2012-02-17 07:25:33,8,3,2012-02-17 07:29:21
726,2012-02-17 07:25:33,9,5,2012-02-17 07:30:00
726,2012-02-17 07:25:33,10,3,2012-02-17 07:30:18
726,2012-02-17 07:25:33,11,4,2012-02-17 07:31:05
726,2012-02-17 07:25:33,12,1,2012-02-17 07:31:57
726,2012-02-17 07:25:33,13,5,2012-02-17 07:32:21
726,2012-02-17 07:25:33,14,2,2012-02-17 07:33:08
726,2012-02-17 07:25:33,15,2,2012-02-17 07:33:30
726,2012-02-17 07:25:33,16,4,2012-02-17 07:33:44
726,2012-02-17 07:25:33,17,5,2012-02-17 07:34:04
726,2012-02-17 07:25:33,18,3,2012-02-17 07:34:30
726,2012-02-17 07:25:33,19,2,2012-02-17 07:35:49
726,2012-02-17 07:25:33,20,2,2012-02-17 07:36:09
726,2012-02-17 07:25:33,21,4,2012-02-17 07:37:08
726,2012-02-17 07:25:33,22,2,2012-02-17 07:38:01
712,2012-02-17 07:25:33,1,5,2012-02-17 07:26:13
712,2012-02-17 07:25:33,2,4,2012-02-17 07:26:25
712,2012-02-17 07:25:33,3,3,2012-02-17 07:26:33
712,2012-02-17 07:25:33,4,2,2012-02-17 07:26:42
712,2012-02-17 07:25:33,5,1,2012-02-17 07:26:50
712,2012-02-17 07:25:33,6,5,2012-02-17 07:26:58
712,2012-02-17 07:25:33,7,4,2012-02-17 07:27:08
712,2012-02-17 07:25:33,8,3,2012-02-17 07:27:23
712,2012-02-17 07:25:33,9,5,2012-02-17 07:27:40
712,2012-02-17 07:25:33,10,1,2012-02-17 07:27:51
712,2012-02-17 07:25:33,11,4,2012-02-17 07:28:16
712,2012-02-17 07:25:33,12,1,2012-02-17 07:28:33
712,2012-02-17 07:25:33,13,3,2012-02-17 07:28:50
712,2012-02-17 07:25:33,14,1,2012-02-17 07:29:24
712,2012-02-17 07:25:33,15,2,2012-02-17 07:29:45
712,2012-02-17 07:25:33,16,5,2012-02-17 07:30:20
712,2012-02-17 07:25:33,17,5,2012-02-17 07:30:44
712,2012-02-17 07:25:33,18,3,2012-02-17 07:31:14
712,2012-02-17 07:25:33,19,4,2012-02-17 07:32:09
712,2012-02-17 07:25:33,20,1,2012-02-17 07:32:29
712,2012-02-17 07:25:33,21,5,2012-02-17 07:33:40
712,2012-02-17 07:25:33,22,4,2012-02-17 07:34:05
712,2012-02-17 07:25:33,23,5,2012-02-17 07:34:35
712,2012-02-17 07:25:33,24,4,2012-02-17 07:35:04
712,2012-02-17 07:25:33,25,1,2012-02-17 07:35:42
712,2012-02-17 07:25:33,26,1,2012-02-17 07:36:36
712,2012-02-17 07:25:33,27,1,2012-02-17 07:37:37
722,2012-02-17 07:25:33,1,5,2012-02-17 07:26:58
722,2012-02-17 07:25:33,2,4,2012-02-17 07:27:17
722,2012-02-17 07:25:33,3,3,2012-02-17 07:27:31
722,2012-02-17 07:25:33,4,2,2012-02-17 07:27:45
722,2012-02-17 07:25:33,5,1,2012-02-17 07:27:59
722,2012-02-17 07:25:33,6,5,2012-02-17 07:28:11
722,2012-02-17 07:25:33,7,4,2012-02-17 07:28:30
722,2012-02-17 07:25:33,8,3,2012-02-17 07:28:47
722,2012-02-17 07:25:33,9,5,2012-02-17 07:29:22
722,2012-02-17 07:25:33,10,1,2012-02-17 07:29:37
722,2012-02-17 07:25:33,11,4,2012-02-17 07:30:01
722,2012-02-17 07:25:33,12,1,2012-02-17 07:30:47
722,2012-02-17 07:25:33,13,5,2012-02-17 07:31:17
722,2012-02-17 07:25:33,14,1,2012-02-17 07:31:50
722,2012-02-17 07:25:33,15,2,2012-02-17 07:32:14
722,2012-02-17 07:25:33,16,3,2012-02-17 07:33:03
722,2012-02-17 07:25:33,17,5,2012-02-17 07:34:10
722,2012-02-17 07:25:33,18,4,2012-02-17 07:34:21
722,2012-02-17 07:25:33,19,2,2012-02-17 07:35:29
722,2012-02-17 07:25:33,20,2,2012-02-17 07:36:34
722,2012-02-17 07:25:33,21,5,2012-02-17 07:37:53
722,2012-02-17 07:25:33,22,5,2012-02-17 07:38:24
709,2012-02-17 07:25:33,1,5,2012-02-17 07:27:04
709,2012-02-17 07:25:33,2,4,2012-02-17 07:27:18
709,2012-02-17 07:25:33,3,3,2012-02-17 07:27:27
709,2012-02-17 07:25:33,4,2,2012-02-17 07:27:36
709,2012-02-17 07:25:33,5,1,2012-02-17 07:27:48
709,2012-02-17 07:25:33,6,5,2012-02-17 07:27:58
709,2012-02-17 07:25:33,7,4,2012-02-17 07:28:13
709,2012-02-17 07:25:33,8,3,2012-02-17 07:28:21
709,2012-02-17 07:25:33,9,5,2012-02-17 07:28:56
709,2012-02-17 07:25:33,10,1,2012-02-17 07:29:11
